,error_euler,error_cdc_ensemble,cum_error_euler,cum_error_cdc_ensemble,target_prediction_date,prediction_made_date,euler_prediction_value,cdc_prediction_value,ground_truth_incidence
0,1137.0,1671.412063948428,1137.0,1671.412063948428,2020-06-20,2020-06-07,4970,5504.412063948428,3833
1,956.0,1242.258715728647,2093.0,2913.670779677075,2020-06-27,2020-06-14,4498,4784.258715728647,3542
2,405.0,611.9991250640974,2498.0,3525.6699047411726,2020-07-04,2020-06-21,3749,3955.9991250640974,3344
3,1470.0,120.94062088369537,3968.0,3646.610525624868,2020-07-11,2020-06-28,3485,4834.059379116305,4955
4,1757.0,899.2430035587668,5725.0,4545.853529183634,2020-07-18,2020-07-05,3297,4154.756996441233,5054
5,942.0,673.2147125392275,6667.0,5219.068241722862,2020-07-25,2020-07-12,5057,5325.785287460772,5999
6,2258.0,1346.0,8925.0,6565.068241722862,2020-08-01,2020-07-19,5095,6007.0,7353
7,777.0,470.0,9702.0,7035.068241722862,2020-08-08,2020-07-26,6004,7251.0,6781
8,189.0,620.0,9891.0,7655.068241722862,2020-08-15,2020-08-02,6710,7141.0,6521
9,628.0,915.0,10519.0,8570.068241722862,2020-08-22,2020-08-09,6794,7081.0,6166
10,719.0,745.0,11238.0,9315.068241722862,2020-08-29,2020-08-16,6612,6638.0,5893
11,755.0,542.0,11993.0,9857.068241722862,2020-09-05,2020-08-23,6192,5979.0,5437
12,1178.0,947.0,13171.0,10804.068241722862,2020-09-12,2020-08-30,5900,5669.0,4722
13,266.0,293.0,13437.0,11097.068241722862,2020-09-19,2020-09-06,5383,5410.0,5117
14,316.0,402.0,13753.0,11499.068241722862,2020-09-26,2020-09-13,4802,4716.0,5118
15,346.0,326.0,14099.0,11825.068241722862,2020-10-03,2020-09-20,4964,4944.0,4618
16,300.0,341.0,14399.0,12166.068241722862,2020-10-10,2020-09-27,5017,5058.0,4717
17,136.0,13.0,14535.0,12179.068241722862,2020-10-17,2020-10-04,4646,4769.0,4782
